,artist,followers,genre,popularity,main_genre
0,The Beatles,21400024,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",89,beatlesque
1,Aphex Twin,822036,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",65,ambient
2,alt-J,2934946,"['indie rock', 'modern rock']",74,indie rock
3,Radiohead,6644420,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",81,alternative rock
4,Phoebe Bridgers,979140,"['indie pop', 'la indie']",80,indie pop
5,Gustavo Santaolalla,223408,"['argentine ambient', 'latin classical', 'latin soundtrack', 'soundtrack', 'video game music']",66,argentine ambient
6,Alex G,224459,"['alternative rock', 'art pop', 'dream pop', 'indie garage rock', 'indie pop', 'indie rock', 'philly indie']",64,alternative rock
7,Bonobo,1182029,"['downtempo', 'electronica', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']",68,downtempo
9,Metallica,19843157,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,hard rock
10,LCD Soundsystem,899784,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']",64,alternative dance
11,Original Broadway Cast of Hamilton,408043,"['broadway', 'hollywood', 'show tunes']",77,broadway
12,Red Hot Chili Peppers,17223686,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",84,alternative rock
13,Luke Kelly,64921,"['banjo', 'celtic', 'irish banjo', 'irish country', 'irish folk']",48,banjo
14,Leslie Odom Jr.,206955,"['broadway', 'hollywood', 'show tunes', 'vocal jazz']",75,broadway
15,Jack White,1182718,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",61,alternative rock
16,Joyner Lucas,1820274,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",79,boston hip hop
18,The Rolling Stones,11132140,"['british invasion', 'classic rock', 'rock']",81,british invasion
19,Black Sabbath,5816435,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",75,album rock
21,Biffy Clyro,658631,"['modern alternative rock', 'modern rock', 'rock', 'scottish rock']",65,modern alternative rock
22,INXS,1914545,"['australian rock', 'classic rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",71,australian rock
23,John Mayer,5347989,"['neo mellow', 'pop rock', 'singer-songwriter']",81,neo mellow
27,Bon Iver,3118217,"['eau claire indie', 'indie folk', 'melancholia']",79,eau claire indie
33,Julien Baker,281170,"['ambient folk', 'art pop', 'indie folk', 'indie pop', 'indie rock']",62,ambient folk
36,Fleetwood Mac,7558490,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",82,album rock
